kwrd,lvl,parent,score
living lab,0,,0
innovation hub,1,living lab,9
co-creation space,1,living lab,9
experimental testbed,1,living lab,8
prototyping environment,1,living lab,8
collaborative research,1,living lab,7
urban planning tool,1,living lab,7
community engagement platform,1,living lab,6
sustainable development model,1,living lab,6
participatory design method,1,living lab,5
real-world testing ground,1,living lab,5
startup ecosystem,2,innovation hub,9
tech incubator,2,innovation hub,8
entrepreneurship,2,innovation hub,7
creative space,2,innovation hub,6
R&D center,2,innovation hub,8
business accelerator,2,innovation hub,9
co-working space,2,innovation hub,6
collaborative environment,2,co-creation space,9
innovation hub,2,co-creation space,8
design thinking,2,co-creation space,8
co-working space,2,co-creation space,7
creative community,2,co-creation space,7
participatory design,2,co-creation space,6
ideation process,2,co-creation space,6
pilot program,2,experimental testbed,9
proof of concept,2,experimental testbed,9
test environment,2,experimental testbed,8
validation framework,2,experimental testbed,8
research facility,2,experimental testbed,6
development platform,2,experimental testbed,6
simulation chamber,2,experimental testbed,5
rapid application development,2,prototyping environment,8
agile development,2,prototyping environment,8
user experience design,2,prototyping environment,7
software development kit,2,prototyping environment,6
human-computer interaction,2,prototyping environment,6
design thinking,2,prototyping environment,7
iterative design,2,prototyping environment,8
interdisciplinary studies,2,collaborative research,9
teamwork,2,collaborative research,8
scientific cooperation,2,collaborative research,9
research collaboration,2,collaborative research,8
co-authorship,2,collaborative research,7
joint problem-solving,2,collaborative research,8
cross-functional teams,2,collaborative research,7
GIS,2,urban planning tool,9
zoning regulation,2,urban planning tool,8
transportation management,2,urban planning tool,7
sustainable development,2,urban planning tool,6
infrastructure design,2,urban planning tool,8
land use modeling,2,urban planning tool,9
city management software,2,urban planning tool,8
social media integration,2,community engagement platform,8
online discussion forums,2,community engagement platform,8
digital outreach tools,2,community engagement platform,7
civic participation software,2,community engagement platform,7
public sector engagement,2,community engagement platform,6
participatory governance,2,community engagement platform,6
volunteer management systems,2,community engagement platform,5
environmental conservation,2,sustainable development model,8
green economy,2,sustainable development model,9
climate change mitigation,2,sustainable development model,8
social responsibility,2,sustainable development model,7
ecological sustainability,2,sustainable development model,9
renewable energy sources,2,sustainable development model,8
economic growth strategy,2,sustainable development model,6
co-creation,2,participatory design method,9
user-centered design,2,participatory design method,8
design thinking,2,participatory design method,7
human-computer interaction,2,participatory design method,6
collaborative design,2,participatory design method,8
inclusive design,2,participatory design method,7
co-design,2,participatory design method,9
field testing,2,real-world testing ground,9
experimental design,2,real-world testing ground,8
practical application,2,real-world testing ground,7
proof of concept,2,real-world testing ground,7
validation process,2,real-world testing ground,8
trial and error,2,real-world testing ground,6
hands-on experience,2,real-world testing ground,6
venture capital,3,startup ecosystem,9
entrepreneurship,3,startup ecosystem,8
innovation hubs,3,startup ecosystem,8
small business development,3,startup ecosystem,6
tech industry trends,3,startup ecosystem,7
incubators,3,startup ecosystem,9
accelerators,3,startup ecosystem,9
startup accelerator,3,tech incubator,9
venture capital,3,tech incubator,8
innovation hub,3,tech incubator,8
entrepreneurship program,3,tech incubator,7
business incubator,3,tech incubator,9
startup ecosystem,3,tech incubator,8
seed funding,3,tech incubator,8
startups,3,entrepreneurship,9
small business management,3,entrepreneurship,8
innovation,3,entrepreneurship,8
leadership,3,entrepreneurship,6
management,3,entrepreneurship,6
business planning,3,entrepreneurship,8
venture capital,3,entrepreneurship,9
art studio,3,creative space,9
innovation hub,3,creative space,8
design lab,3,creative space,9
co working,3,creative space,6
imagination,3,creative space,5
artistic expression,3,creative space,8
inspiration,3,creative space,5
Innovation hub,3,R&D center,9
Research facility,3,R&D center,9
Development lab,3,R&D center,8
Technology park,3,R&D center,7
Science campus,3,R&D center,7
Laboratory research,3,R&D center,8
Product development,3,R&D center,6
startup incubator,3,business accelerator,9
venture capital,3,business accelerator,8
entrepreneurship program,3,business accelerator,8
growth hacking,3,business accelerator,7
small business development,3,business accelerator,6
innovation hub,3,business accelerator,6
scaling strategy,3,business accelerator,8
office sharing,3,co-working space,9
remote work,3,co-working space,8
flexible workspace,3,co-working space,9
startup incubator,3,co-working space,7
freelance community,3,co-working space,8
shared office,3,co-working space,9
workspace rental,3,co-working space,8
teamwork,3,collaborative environment,9
group work,3,collaborative environment,8
communication,3,collaborative environment,7
productivity,3,collaborative environment,6
remote work,3,collaborative environment,6
cooperation,3,collaborative environment,5
organizational culture,3,collaborative environment,5
startup ecosystem,3,innovation hub,9
tech incubator,3,innovation hub,8
entrepreneurship,3,innovation hub,7
creative space,3,innovation hub,6
R&D center,3,innovation hub,8
business accelerator,3,innovation hub,9
co-working space,3,innovation hub,6
innovation,3,design thinking,8
creativity,3,design thinking,8
problem solving,3,design thinking,7
human centered design,3,design thinking,9
ideation,3,design thinking,8
ux design,3,design thinking,8
prototyping,3,design thinking,8
office sharing,3,co-working space,9
remote work,3,co-working space,8
flexible workspace,3,co-working space,9
startup incubator,3,co-working space,7
freelance community,3,co-working space,8
shared office,3,co-working space,9
workspace rental,3,co-working space,8
artistic collaboration,3,creative community,9
innovative entrepreneurship,3,creative community,8
cultural exchange,3,creative community,7
design thinking,3,creative community,8
social creativity,3,creative community,7
community engagement,3,creative community,6
co-creative spaces,3,creative community,8
co-creation,3,participatory design,9
user-centered design,3,participatory design,8
collaborative design,3,participatory design,8
design thinking,3,participatory design,7
human-computer interaction,3,participatory design,6
inclusive design,3,participatory design,6
co-production,3,participatory design,5
brainstorming,3,ideation process,9
creative thinking,3,ideation process,8
innovation management,3,ideation process,7
problem solving,3,ideation process,6
design thinking,3,ideation process,8
concept generation,3,ideation process,9
critical thinking,3,ideation process,5
trial project,3,pilot program,9
experimental initiative,3,pilot program,9
test project,3,pilot program,8
innovation program,3,pilot program,7
demonstration project,3,pilot program,7
beta testing,3,pilot program,6
proof of concept,3,pilot program,6
prototype,3,proof of concept,9
pilot project,3,proof of concept,8
feasibility study,3,proof of concept,7
concept testing,3,proof of concept,7
experimental design,3,proof of concept,6
validation,3,proof of concept,6
proof of principle,3,proof of concept,9
quality assurance,3,test environment,8
sandbox,3,test environment,8
staging,3,test environment,9
development environment,3,test environment,7
continuous integration,3,test environment,6
deployment,3,test environment,5
simulation,3,test environment,4
data validation,3,validation framework,9
software testing,3,validation framework,7
quality assurance,3,validation framework,8
validation process,3,validation framework,9
error checking,3,validation framework,6
verification process,3,validation framework,8
data integrity,3,validation framework,8
laboratory,3,research facility,9
institute,3,research facility,8
science center,3,research facility,8
testing site,3,research facility,7
experimental station,3,research facility,7
development hub,3,research facility,6
innovation center,3,research facility,6
software framework,3,development platform,9
application development,3,development platform,8
DevOps tools,3,development platform,7
